season,episode,rating
1,1,8.5
1,2,7.6
1,3,7.7
1,4,7.2
1,5,7.7
1,6,7.1
1,7,7.4
1,8,7.4
1,9,7.2
1,10,7.8
1,11,8.4
1,12,7.9
1,13,7.4
1,14,8.2
1,15,7.5
1,16,7.7
1,17,7.8
1,18,6.7
1,19,7.2
1,20,7.4
1,21,8.2
1,22,7.9
1,23,8.0
1,24,7.7
1,25,7.5
1,26,7.3
1,27,7.0
1,28,7.1
1,29,7.3
1,30,7.3
1,31,7.1
1,32,7.5
1,33,7.6
1,34,6.4
1,35,7.5
1,36,7.2
1,37,7.6
1,38,7.3
1,39,8.0
1,40,7.6
1,41,7.4
1,42,7.1
1,43,6.9
1,44,7.2
1,45,7.6
1,46,8.1
1,47,7.0
1,48,7.6
1,49,7.1
1,50,7.5
1,51,7.7
1,52,7.4
1,53,6.9
1,54,7.0
1,55,6.9
1,56,7.7
1,57,7.3
1,58,7.6
1,59,8.3
1,60,7.2
1,61,7.1
1,62,6.5
1,63,7.9
1,64,7.0
1,65,6.9
1,66,7.5
1,67,7.3
1,68,7.1
1,69,7.2
1,70,6.9
1,71,6.6
1,72,7.8
1,73,7.1
1,74,7.1
1,75,7.0
1,76,7.4
1,77,7.8
1,78,7.6
1,79,7.9
1,80,7.2
1,81,7.5
1,82,7.4
2,1,7.4
2,2,7.2
2,3,7.3
2,4,7.4
2,5,7.6
2,6,7.8
2,7,7.2
2,8,7.1
2,9,6.9
2,10,6.8
2,11,7.6
2,12,7.0
2,13,7.5
2,14,7.3
2,15,6.9
2,16,6.9
2,17,7.3
2,18,6.9
2,19,7.2
2,20,6.6
2,21,6.8
2,22,6.8
2,23,7.5
2,24,7.3
2,25,8.0
2,26,7.3
2,27,7.1
2,28,7.6
2,29,6.8
2,30,7.4
2,31,8.0
2,32,8.3
2,33,7.4
2,34,6.9
2,35,7.5
2,36,7.6
3,1,7.2
3,2,6.9
3,3,7.1
3,4,7.0
3,5,7.0
3,6,6.4
3,7,6.9
3,8,6.6
3,9,6.9
3,10,7.5
3,11,6.8
3,12,6.5
3,13,7.4
3,14,6.8
3,15,7.7
3,16,6.7
3,17,6.8
3,18,7.9
3,19,6.4
3,20,7.0
3,21,6.7
3,22,6.7
3,23,6.8
3,24,7.5
3,25,7.3
3,26,6.9
3,27,6.9
3,28,7.6
3,29,6.4
3,30,7.3
3,31,7.3
3,32,6.5
3,33,6.5
3,34,7.1
3,35,7.7
3,36,7.0
3,37,6.8
3,38,7.3
3,39,7.2
3,40,6.8
3,41,7.3
4,1,7.3
4,2,7.3
4,3,6.6
4,4,7.0
4,5,7.1
4,6,7.0
4,7,6.7
4,8,6.8
4,9,6.8
4,10,6.9
4,11,6.9
4,12,6.5
4,13,6.8
4,14,7.3
4,15,6.5
4,16,6.9
4,17,7.0
4,18,6.6
4,19,6.8
4,20,6.5
4,21,7.0
4,22,6.9
4,23,7.0
4,24,7.3
4,25,7.7
4,26,7.0
4,27,6.5
4,28,6.9
4,29,6.9
4,30,7.0
4,31,6.8
4,32,7.5
4,33,6.9
4,34,6.2
4,35,6.8
4,36,7.1
4,37,7.4
4,38,6.9
4,39,6.9
4,40,6.5
4,41,7.1
4,42,7.2
4,43,6.7
4,44,6.5
4,45,6.7
4,46,6.6
4,47,6.8
4,48,6.5
4,49,6.7
4,50,6.6
