season,episode,rating
1,1,7.5
1,2,7.7
1,3,7.7
1,4,7.9
1,5,7.7
1,6,7.8
1,7,7.7
1,8,7.5
1,9,7.5
1,10,8.0
1,11,8.0
1,12,8.8
1,13,8.5
2,1,7.9
2,2,7.8
2,3,7.6
2,4,7.8
2,5,8.4
2,6,8.0
2,7,8.0
2,8,7.8
2,9,8.1
2,10,7.6
2,11,7.2
2,12,7.8
2,13,8.0
2,14,7.8
2,15,7.6
2,16,7.8
2,17,7.8
2,18,5.8
2,19,8.3
2,20,8.2
2,21,9.0
2,22,7.8
3,1,7.7
3,2,7.5
3,3,7.3
3,4,8.3
3,5,8.0
3,6,7.7
3,7,7.6
3,8,7.8
3,9,6.7
3,10,7.3
3,11,7.4
3,12,7.2
3,13,6.5
3,14,6.9
3,15,7.3
3,16,4.2
3,17,7.1
3,18,7.2
3,19,7.2
3,20,7.6
3,21,8.1
3,22,8.1
4,1,9.3
4,2,7.4
4,3,6.8
4,4,7.6
4,5,7.2
4,6,7.0
4,7,7.4
4,8,7.6
4,9,7.2
4,10,7.1
4,11,7.1
4,12,6.8
4,13,7.4
4,14,8.0
4,15,7.4
4,16,8.4
4,17,3.5
4,18,6.7
4,19,7.3
5,1,7.1
5,2,6.8
5,3,8.3
5,4,7.3
5,5,7.4
5,6,7.3
5,7,6.6
5,8,5.9
5,9,6.2
5,10,6.3
5,11,6.0
5,12,7.9
5,13,6.3
5,14,6.5
5,15,4.3
5,16,5.7
5,17,7.0
5,18,3.1
5,19,6.3
6,1,4.9
6,2,4.8
6,3,4.9
6,4,5.5
6,5,7.3
6,6,5.8
6,7,6.0
6,8,5.9
6,9,6.2
6,10,5.9
6,11,6.2
6,12,5.9
6,13,6.2
6,14,6.3
6,15,5.9
6,16,5.8
6,17,5.5
6,18,5.8
6,19,6.4
6,20,6.5
6,21,6.5
6,22,5.7
