season,episode,rating
1,1,8.4
1,2,7.9
1,3,8.1
1,4,8.4
1,5,8.0
1,6,8.1
1,7,7.8
1,8,8.0
1,9,8.8
1,10,7.8
1,11,7.7
1,12,6.9
1,13,9.0
1,14,9.1
1,15,7.7
1,16,7.8
1,17,8.4
1,18,7.9
1,19,8.6
1,20,9.3
1,21,9.7
2,1,8.6
2,2,8.1
2,3,8.3
2,4,7.6
2,5,7.4
2,6,9.1
2,7,9.5
2,8,9.0
2,9,8.5
2,10,8.7
2,11,8.7
2,12,8.3
2,13,8.9
2,14,8.6
2,15,9.2
2,16,8.8
2,17,9.0
2,18,8.5
2,19,9.0
2,20,9.6
3,1,8.6
3,2,8.3
3,3,7.9
3,4,8.8
3,5,8.5
3,6,9.5
3,7,8.1
3,8,9.1
3,9,7.6
3,10,9.1
3,11,9.4
3,12,8.9
3,13,9.2
3,14,8.6
3,15,9.2
3,16,8.9
3,17,8.5
3,18,9.0
3,19,9.5
3,20,9.8
3,21,9.9
