season,episode,rating
1,1,7.3
1,2,8.1
1,3,7.6
1,4,7.8
1,5,8.2
1,6,7.6
2,1,8.6
2,2,8.1
2,3,8.2
2,4,8.2
2,5,8.0
2,6,8.0
2,7,8.5
2,8,8.0
2,9,8.2
2,10,8.7
2,11,8.5
2,12,9.0
2,13,8.1
2,14,7.7
2,15,8.0
2,16,8.2
2,17,8.3
2,18,8.2
2,19,8.0
2,20,8.2
2,21,8.6
2,22,9.3
3,1,8.9
3,2,8.0
3,3,8.4
3,4,7.8
3,5,7.9
3,6,7.8
3,7,8.5
3,8,8.6
3,9,8.2
3,10,8.7
3,11,8.5
3,12,8.5
3,13,8.7
3,14,7.9
3,15,8.1
3,16,8.8
3,17,8.3
3,18,8.9
3,19,8.6
3,20,8.5
3,21,8.7
3,22,9.0
3,23,9.2
4,1,8.7
4,2,8.1
4,3,8.3
4,4,8.5
4,5,8.6
4,6,8.3
4,7,8.0
4,8,8.6
4,9,9.4
4,10,7.9
4,11,8.5
4,12,8.1
4,13,7.6
4,14,9.2
5,1,8.7
5,2,8.1
5,3,7.8
5,4,7.9
5,5,7.9
5,6,8.4
5,7,8.0
5,8,8.5
5,9,8.6
5,10,8.2
5,11,8.6
5,12,7.9
5,13,9.7
5,14,8.0
5,15,8.0
5,16,7.9
5,17,8.5
5,18,8.2
5,19,8.2
5,20,8.1
5,21,8.6
5,22,8.6
5,23,9.2
5,24,8.1
5,25,8.7
5,26,8.9
6,1,8.7
6,2,8.0
6,3,7.8
6,4,9.2
6,5,9.4
6,6,7.5
6,7,8.5
6,8,8.0
6,9,7.9
6,10,8.6
6,11,8.0
6,12,8.2
6,13,8.4
6,14,6.7
6,15,7.5
6,16,7.9
6,17,8.3
6,18,8.4
6,19,7.5
6,20,7.6
6,21,8.4
6,22,7.7
6,23,7.7
6,24,8.0
6,25,7.6
6,26,7.8
7,1,8.2
7,2,8.1
7,3,8.1
7,4,7.7
7,5,7.6
7,6,8.0
7,7,7.3
7,8,7.7
7,9,7.5
7,10,8.1
7,11,8.9
7,12,8.1
7,13,7.5
7,14,8.4
7,15,8.3
7,16,9.3
7,17,7.3
7,18,9.3
7,19,7.6
7,20,8.9
7,21,9.8
7,22,7.4
7,23,8.6
7,24,8.6
8,1,7.9
8,2,8.0
8,3,7.1
8,4,8.0
8,5,7.4
8,6,7.4
8,7,7.5
8,8,6.6
8,9,7.5
8,10,7.7
8,11,7.7
8,12,7.9
8,13,7.3
8,14,7.5
8,15,7.7
8,16,7.9
8,17,7.7
8,18,7.6
8,19,6.4
8,20,6.8
8,21,6.7
8,22,6.9
8,23,7.4
8,24,7.5
9,1,7.4
9,2,6.9
9,3,7.1
9,4,7.6
9,5,6.8
9,6,7.6
9,7,7.4
9,8,7.7
9,9,8.2
9,10,7.4
9,11,7.6
9,12,7.7
9,13,7.3
9,14,7.2
9,15,7.0
9,16,7.8
9,17,7.3
9,18,7.7
9,19,7.8
9,20,7.8
9,21,9.0
9,22,9.4
9,23,9.8
