season,episode,name,rating
1,1,Avatar: The Last Airbender,8.4
1,2,The Boy in the Iceberg,7.9
1,3,The Avatar Returns,8.1
1,4,The Southern Air Temple,8.4
1,5,The Warriors of Kyoshi,8.0
1,6,The King of Omashu,8.1
1,7,Imprisoned,7.8
1,8,"The Spirit World: Winter Solstice, Part 1",8.0
1,9,"Avatar Roku: Winter Solstice, Part 2",8.8
1,10,The Waterbending Scroll,7.8
1,11,Jet,7.7
1,12,The Great Divide,6.9
1,13,The Storm,9.0
1,14,The Blue Spirit,9.1
1,15,The Fortuneteller,7.7
1,16,Bato of the Water Tribe,7.8
1,17,The Deserter,8.4
1,18,The Northern Air Temple,7.9
1,19,The Waterbending Master,8.6
1,20,"The Siege of the North, Part 1",9.3
1,21,"The Siege of the North, Part 2",9.7
2,1,The Avatar State,8.6
2,2,The Cave of Two Lovers,8.1
2,3,Return to Omashu,8.3
2,4,The Swamp,7.6
2,5,Avatar Day,7.4
2,6,The Blind Bandit,9.1
2,7,Zuko Alone,9.5
2,8,The Chase,9.0
2,9,Bitter Work,8.5
2,10,The Library,8.7
2,11,The Desert,8.7
2,12,The Serpent's Pass,8.3
2,13,The Drill,8.9
2,14,City of Walls and Secrets,8.6
2,15,The Tales of Ba Sing Se,9.2
2,16,Appa's Lost Days,8.8
2,17,Lake Laogai,9.0
2,18,The Earth King,8.5
2,19,The Guru,9.0
2,20,The Crossroads of Destiny,9.6
3,1,The Awakening,8.6
3,2,The Headband,8.3
3,3,The Painted Lady,7.9
3,4,Sokka's Master,8.8
3,5,The Beach,8.5
3,6,The Avatar and the Fire Lord,9.5
3,7,The Runaway,8.1
3,8,The Puppetmaster,9.1
3,9,Nightmares and Daydreams,7.6
3,10,Day of the Black Sun: The Invasion,9.1
3,11,Day of the Black Sun: The Eclipse,9.4
3,12,The Western Air Temple,8.9
3,13,The Firebending Masters,9.2
3,14,The Boiling Rock: Part 1,8.6
3,15,The Boiling Rock,9.2
3,16,The Southern Raiders,8.9
3,17,The Ember Island Players,8.5
3,18,Sozin's Comet,9.0
3,19,Sozin's Comet: The Old Masters,9.5
3,20,Sozin's Comet: Into the Inferno,9.8
3,21,"Sozin's Comet, Part 4: Avatar Aang",9.9
