season,episode,name,rating
1,1,Pilot,9.0
1,2,Cat's in the Bag...,8.6
1,3,...And the Bag's in the River,8.7
1,4,Cancer Man,8.2
1,5,Gray Matter,8.3
1,6,Crazy Handful of Nothin',9.3
1,7,A No-Rough-Stuff-Type Deal,8.8
2,1,Seven Thirty-Seven,8.6
2,2,Grilled,9.3
2,3,Bit by a Dead Bee,8.3
2,4,Down,8.2
2,5,Breakage,8.3
2,6,Peekaboo,8.8
2,7,Negro y Azul,8.6
2,8,Better Call Saul,9.2
2,9,4 Days Out,9.1
2,10,Over,8.5
2,11,Mandala,8.9
2,12,Phoenix,9.3
2,13,ABQ,9.2
3,1,No Más,8.5
3,2,Caballo sin Nombre,8.6
3,3,I.F.T.,8.4
3,4,Green Light,8.2
3,5,Más,8.6
3,6,Sunset,9.3
3,7,One Minute,9.6
3,8,I See You,8.7
3,9,Kafkaesque,8.4
3,10,Fly,7.8
3,11,Abiquiu,8.4
3,12,Half Measures,9.5
3,13,Full Measure,9.6
4,1,Box Cutter,9.2
4,2,Thirty-Eight Snub,8.2
4,3,Open House,8.0
4,4,Bullet Points,8.6
4,5,Shotgun,8.6
4,6,Cornered,8.4
4,7,Problem Dog,8.8
4,8,Hermanos,9.2
4,9,Bug,8.8
4,10,Salud,9.6
4,11,Crawl Space,9.7
4,12,End Times,9.5
4,13,Face Off,9.9
5,1,Live Free or Die,9.2
5,2,Madrigal,8.8
5,3,Hazard Pay,8.8
5,4,Fifty-One,8.8
5,5,Dead Freight,9.7
5,6,Buyout,9.0
5,7,Say My Name,9.5
5,8,Gliding Over All,9.6
5,9,Blood Money,9.4
5,10,Buried,9.2
5,11,Confessions,9.6
5,12,Rabid Dog,9.1
5,13,To'hajiilee,9.8
5,14,Ozymandias,10.0
5,15,Granite State,9.7
5,16,Felina,9.9
