season,episode,name,rating
1,1,Geheimnisse,8.2
1,2,Lügen,8.1
1,3,Gestern und heute,8.5
1,4,Doppelleben,8.2
1,5,Wahrheiten,8.8
1,6,Sic Mundus Creatus Est,9.0
1,7,Kreuzwege,8.6
1,8,"Was man sät, das wird man ernten",9.1
1,9,Alles ist jetzt,8.6
1,10,Alpha und Omega,9.1
2,1,Anfänge und Enden,8.7
2,2,Dunkle Materie,8.9
2,3,Gespenster,9.0
2,4,Die Reisenden,9.4
2,5,Vom Suchen und Finden,9.2
2,6,Ein unendlicher kreis,9.5
2,7,Der weiße Teufel,9.1
2,8,Enden und Anfänge,9.4
3,1,Deja-vu,8.8
3,2,Die Überlebenden,8.6
3,3,Adam und Eva,8.7
3,4,Der Ursprung,8.9
3,5,Leben und Tod,9.3
3,6,Licht und Schatten,9.1
3,7,Zwischen der Zeit,9.5
3,8,Das Paradies,9.6
