season,episode,rating
1,1,8.1
1,2,7.9
1,3,8.0
1,4,8.0
1,5,8.3
1,6,8.0
1,7,8.9
1,8,8.0
1,9,8.1
1,10,7.9
1,11,8.1
1,12,8.0
1,13,8.5
1,14,8.1
1,15,8.1
1,16,8.0
1,17,8.3
1,18,8.7
1,19,8.0
1,20,7.7
1,21,7.7
1,22,8.1
1,23,8.6
1,24,8.8
2,1,8.4
2,2,8.0
2,3,8.2
2,4,7.8
2,5,8.1
2,6,8.5
2,7,8.9
2,8,8.4
2,9,7.8
2,10,7.9
2,11,8.0
2,12,8.5
2,13,8.7
2,14,9.3
2,15,8.7
2,16,8.5
2,17,8.1
2,18,8.3
2,19,8.4
2,20,8.0
2,21,8.0
2,22,8.9
2,23,7.9
2,24,8.1
3,1,8.3
3,2,8.9
3,3,7.9
3,4,7.9
3,5,8.0
3,6,9.0
3,7,8.2
3,8,8.2
3,9,8.9
3,10,8.0
3,11,8.4
3,12,8.1
3,13,8.1
3,14,7.7
3,15,8.4
3,16,9.0
3,17,8.2
3,18,8.3
3,19,8.0
3,20,7.9
3,21,8.6
3,22,8.1
3,23,7.9
3,24,8.0
3,25,8.7
4,1,9.0
4,2,7.9
4,3,8.4
4,4,8.1
4,5,8.3
4,6,8.4
4,7,8.6
4,8,9.0
4,9,7.7
4,10,7.9
4,11,8.4
4,12,9.4
4,13,8.1
4,14,8.1
4,15,8.4
4,16,8.1
4,17,8.5
4,18,8.1
4,19,8.6
4,20,8.4
4,21,6.9
4,22,8.3
4,23,8.6
4,24,9.1
5,1,8.8
5,2,8.9
5,3,8.7
5,4,8.1
5,5,8.6
5,6,7.9
5,7,8.2
5,8,9.0
5,9,9.0
5,10,8.0
5,11,9.0
5,12,8.1
5,13,7.9
5,14,9.7
5,15,8.4
5,16,8.5
5,17,8.4
5,18,7.8
5,19,8.6
5,20,8.1
5,21,8.3
5,22,8.1
5,23,8.7
5,24,9.0
6,1,8.6
6,2,8.1
6,3,8.0
6,4,8.4
6,5,8.0
6,6,8.4
6,7,8.2
6,8,8.4
6,9,9.1
6,10,8.5
6,11,7.9
6,12,7.9
6,13,8.1
6,14,8.4
6,15,8.4
6,16,8.4
6,17,9.0
6,18,8.2
6,19,8.2
6,20,7.2
6,21,8.5
6,22,8.9
6,23,8.5
6,24,8.6
6,25,9.2
7,1,8.3
7,2,8.2
7,3,8.0
7,4,7.9
7,5,7.9
7,6,8.8
7,7,8.4
7,8,8.0
7,9,8.0
7,10,8.4
7,11,8.4
7,12,8.5
7,13,8.3
7,14,8.5
7,15,8.3
7,16,8.6
7,17,8.2
7,18,8.3
7,19,8.6
7,20,8.2
7,21,7.2
7,22,8.2
7,23,8.8
7,24,9.1
8,1,8.6
8,2,9.0
8,3,8.6
8,4,9.2
8,5,8.0
8,6,8.4
8,7,7.7
8,8,8.6
8,9,9.2
8,10,7.9
8,11,7.9
8,12,8.4
8,13,8.4
8,14,8.1
8,15,8.2
8,16,8.2
8,17,7.9
8,18,8.1
8,19,7.2
8,20,8.1
8,21,8.0
8,22,8.2
8,23,8.7
8,24,8.8
9,1,8.5
9,2,8.4
9,3,8.1
9,4,8.0
9,5,8.4
9,6,8.2
9,7,8.5
9,8,8.7
9,9,8.0
9,10,7.2
9,11,7.8
9,12,7.8
9,13,8.0
9,14,8.1
9,15,8.2
9,16,8.1
9,17,8.3
9,18,8.5
9,19,8.0
9,20,8.1
9,21,8.1
9,22,7.7
9,23,8.4
9,24,8.5
10,1,8.4
10,2,8.7
10,3,8.7
10,4,8.2
10,5,8.1
10,6,8.1
10,7,8.1
10,8,8.8
10,9,8.5
10,10,7.8
10,11,8.9
10,12,8.8
10,13,8.4
10,14,8.5
10,15,8.4
10,16,8.8
10,17,9.6
