season,episode,name,rating
1,1,Yankee White,8.1
1,2,Hung Out to Dry,7.5
1,3,Seadog,7.5
1,4,The Immortals,7.3
1,5,The Curse,7.8
1,6,High Seas,7.6
1,7,Sub Rosa,8.0
1,8,Minimum Security,7.6
1,9,Marine Down,7.9
1,10,Left for Dead,7.6
1,11,Eye Spy,7.5
1,12,My Other Left Foot,7.7
1,13,"One Shot, One Kill",8.1
1,14,The Good Samaritan,7.6
1,15,Enigma,7.7
1,16,Bête Noire,8.5
1,17,The Truth Is Out There,7.4
1,18,UnSEALeD,7.7
1,19,Dead Man Talking,8.1
1,20,Missing,7.9
1,21,Split Decision,7.7
1,22,A Weak Link,7.5
1,23,Reveille,8.2
2,1,See No Evil,8.4
2,2,The Good Wives Club,7.7
2,3,Vanished,7.3
2,4,Lt. Jane Doe,7.8
2,5,The Bone Yard,8.0
2,6,Terminal Leave,7.6
2,7,Call of Silence,9.0
2,8,Heart Break,7.4
2,9,Forced Entry,7.7
2,10,Chained,8.1
2,11,Black Water,7.6
2,12,Doppelgänger,8.0
2,13,The Meat Puzzle,8.2
2,14,Witness,7.9
2,15,Caught on Tape,7.5
2,16,Pop Life,7.5
2,17,An Eye for an Eye,7.6
2,18,Bikini Wax,7.5
2,19,Conspiracy Theory,7.7
2,20,Red Cell,7.7
2,21,Hometown Hero,7.7
2,22,SWAK,8.9
2,23,Twilight,8.9
3,1,Kill Ari (Part I),8.6
3,2,Kill Ari (Part II),8.7
3,3,Mind Games,8.0
3,4,Silver War,7.8
3,5,Switch,7.4
3,6,The Voyeur's Web,7.5
3,7,Honor Code,8.2
3,8,Under Covers,8.5
3,9,Frame Up,8.5
3,10,Probie,8.0
3,11,Model Behavior,7.4
3,12,Boxed In,7.9
3,13,Deception,7.5
3,14,Light Sleeper,7.7
3,15,Head Case,7.5
3,16,Family Secret,7.5
3,17,Ravenous,7.7
3,18,Bait,8.2
3,19,Iced,7.6
3,20,Untouchable,7.6
3,21,Bloodbath,8.1
3,22,Jeopardy,7.9
3,23,Hiatus (Part #1),8.4
3,24,Hiatus (Part #2),8.6
4,1,Shalom,8.1
4,2,Escaped,7.9
4,3,Singled Out,7.5
4,4,Faking It,7.7
4,5,Dead and Unburied,7.6
4,6,Witch Hunt,8.0
4,7,Sandblast,7.6
4,8,Once a Hero,7.8
4,9,Twisted Sister,8.2
4,10,Smoked,8.0
4,11,Driven,7.7
4,12,Suspicion,7.7
4,13,Sharif Returns,7.7
4,14,Blowback,7.8
4,15,Friends & Lovers,7.6
4,16,Dead Man Walking,8.5
4,17,Skeletons,7.6
4,18,Iceman,7.7
4,19,Grace Period,8.3
4,20,Cover Story,7.9
4,21,Brothers in Arms,7.3
4,22,In the Dark,7.5
4,23,Trojan Horse,7.8
4,24,Angel of Death,8.2
5,1,Bury Your Dead,8.1
5,2,Family,7.5
5,3,Ex-File,7.8
5,4,Identity Crisis,7.8
5,5,Leap of Faith,7.8
5,6,Chimera,8.4
5,7,Requiem,8.9
5,8,Designated Target,7.5
5,9,Lost & Found,8.2
5,10,Corporal Punishment,7.9
5,11,Tribes,7.3
5,12,Stakeout,7.6
5,13,Dog Tags,7.7
5,14,Internal Affairs,8.1
5,15,In the Zone,7.5
5,16,Recoil,7.8
5,17,About Face,7.7
