season,episode,rating
1,1,8.1
1,2,7.5
1,3,7.5
1,4,7.3
1,5,7.8
1,6,7.6
1,7,8.0
1,8,7.6
1,9,7.9
1,10,7.6
1,11,7.5
1,12,7.7
1,13,8.1
1,14,7.6
1,15,7.7
1,16,8.5
1,17,7.4
1,18,7.7
1,19,8.1
1,20,7.9
1,21,7.7
1,22,7.5
1,23,8.2
2,1,8.4
2,2,7.7
2,3,7.3
2,4,7.8
2,5,8.0
2,6,7.6
2,7,9.0
2,8,7.4
2,9,7.7
2,10,8.1
2,11,7.6
2,12,8.0
2,13,8.2
2,14,7.9
2,15,7.5
2,16,7.5
2,17,7.6
2,18,7.5
2,19,7.7
2,20,7.7
2,21,7.7
2,22,8.9
2,23,8.9
3,1,8.6
3,2,8.7
3,3,8.0
3,4,7.8
3,5,7.4
3,6,7.5
3,7,8.2
3,8,8.5
3,9,8.5
3,10,8.0
3,11,7.4
3,12,7.9
3,13,7.5
3,14,7.7
3,15,7.5
3,16,7.5
3,17,7.7
3,18,8.2
3,19,7.6
3,20,7.6
3,21,8.1
3,22,7.9
3,23,8.4
3,24,8.6
4,1,8.1
4,2,7.9
4,3,7.5
4,4,7.7
4,5,7.6
4,6,8.0
4,7,7.6
4,8,7.8
4,9,8.2
4,10,8.0
4,11,7.7
4,12,7.7
4,13,7.7
4,14,7.8
4,15,7.6
4,16,8.5
4,17,7.6
4,18,7.7
4,19,8.3
4,20,7.9
4,21,7.3
4,22,7.5
4,23,7.8
4,24,8.2
5,1,8.1
5,2,7.5
5,3,7.8
5,4,7.8
5,5,7.8
5,6,8.4
5,7,8.9
5,8,7.5
5,9,8.2
5,10,7.9
5,11,7.3
5,12,7.6
5,13,7.7
5,14,8.1
5,15,7.5
5,16,7.8
5,17,7.7
5,18,8.6
5,19,8.8
6,1,8.1
6,2,7.8
6,3,7.5
6,4,8.9
6,5,7.5
6,6,8.2
6,7,7.8
6,8,8.5
6,9,8.2
6,10,7.4
6,11,7.9
6,12,7.9
6,13,7.7
6,14,7.5
6,15,7.6
6,16,7.9
6,17,7.7
6,18,7.0
6,19,7.5
6,20,7.7
6,21,7.8
6,22,8.0
6,23,8.1
6,24,8.3
6,25,8.5
7,1,9.1
7,2,8.1
7,3,7.7
7,4,8.2
7,5,7.5
7,6,8.1
7,7,8.1
7,8,8.2
7,9,7.9
7,10,7.8
7,11,7.6
7,12,8.0
7,13,8.1
7,14,7.6
7,15,7.6
7,16,7.6
7,17,7.6
7,18,7.9
7,19,7.8
7,20,7.6
7,21,7.7
7,22,8.1
7,23,8.3
7,24,8.5
8,1,8.4
8,2,8.0
8,3,7.7
8,4,7.7
8,5,7.4
8,6,7.5
8,7,8.0
8,8,8.2
8,9,8.4
8,10,7.6
8,11,8.0
8,12,7.8
8,13,7.5
8,14,8.3
8,15,7.7
8,16,7.6
8,17,7.5
8,18,7.9
8,19,7.5
8,20,8.1
8,21,8.0
8,22,8.5
8,23,8.4
8,24,8.4
9,1,8.2
9,2,7.6
9,3,7.4
9,4,7.7
9,5,7.7
9,6,7.4
9,7,8.1
9,8,8.0
9,9,8.1
9,10,7.6
9,11,8.0
9,12,8.0
9,13,7.7
9,14,8.1
9,15,7.8
9,16,7.7
9,17,7.5
9,18,7.6
9,19,7.6
9,20,7.3
9,21,8.0
9,22,8.1
9,23,8.1
9,24,8.8
10,1,8.2
10,2,7.8
10,3,7.6
10,4,7.5
10,5,8.1
10,6,7.6
10,7,7.8
10,8,8.1
10,9,8.5
10,10,7.8
10,11,8.7
10,12,8.6
10,13,7.5
10,14,8.2
10,15,7.3
10,16,8.3
10,17,7.7
10,18,8.5
10,19,7.7
10,20,7.4
10,21,8.1
10,22,8.2
10,23,7.9
10,24,8.4
11,1,8.2
11,2,8.6
11,3,7.5
11,4,7.9
11,5,7.6
11,6,7.5
11,7,8.2
11,8,7.8
11,9,8.2
11,10,8.2
11,11,7.5
11,12,7.6
11,13,7.8
11,14,7.7
11,15,7.4
11,16,7.7
11,17,7.4
11,18,7.5
11,19,7.6
11,20,7.7
11,21,7.7
11,22,8.0
11,23,8.0
11,24,8.7
12,1,8.2
12,2,7.7
12,3,8.4
12,4,8.1
12,5,8.0
12,6,8.2
12,7,8.1
12,8,8.1
12,9,8.4
12,10,8.0
12,11,8.7
12,12,7.8
12,13,7.7
12,14,8.0
12,15,8.2
12,16,7.7
12,17,7.8
12,18,8.0
12,19,7.8
12,20,7.4
12,21,7.9
12,22,8.0
12,23,8.6
12,24,8.4
13,1,8.3
13,2,7.8
13,3,7.9
13,4,7.7
13,5,8.1
13,6,7.7
13,7,8.1
13,8,8.4
13,9,8.0
13,10,8.0
13,11,8.8
13,12,8.0
13,13,7.7
13,14,7.7
13,15,8.1
13,16,8.0
13,17,8.1
13,18,8.7
13,19,8.2
13,20,8.1
13,21,8.0
13,22,8.0
13,23,8.4
13,24,9.2
14,1,7.6
14,2,7.5
14,3,7.5
14,4,7.4
14,5,7.3
14,6,7.4
14,7,7.5
14,8,7.4
14,9,7.3
14,10,8.0
14,11,7.9
14,12,7.7
14,13,9.2
14,14,7.6
14,15,7.9
14,16,7.5
14,17,8.0
14,18,8.1
14,19,7.6
14,20,7.5
14,21,7.4
14,22,7.5
14,23,8.2
14,24,8.0
15,1,8.2
15,2,7.7
15,3,7.7
15,4,7.8
15,5,7.6
15,6,7.5
15,7,8.2
15,8,7.9
15,9,7.4
15,10,7.6
15,11,8.1
15,12,7.9
15,13,7.7
15,14,8.0
15,15,8.1
15,16,8.0
15,17,7.7
15,18,8.2
15,19,7.6
15,20,7.8
15,21,7.8
15,22,8.3
15,23,7.6
15,24,8.2
16,1,8.0
16,2,7.8
16,3,7.7
16,4,8.0
16,5,8.4
16,6,7.9
16,7,7.6
16,8,7.9
16,9,7.7
16,10,7.9
16,11,8.0
16,12,8.0
16,13,9.1
16,14,8.3
16,15,7.6
16,16,7.7
16,17,8.0
16,18,8.3
16,19,7.8
16,20,8.2
16,21,8.2
16,22,8.3
16,23,8.0
16,24,8.1
17,1,8.3
17,2,8.2
17,3,7.5
17,4,7.9
17,5,7.7
17,6,7.3
17,7,7.8
17,8,7.8
17,9,8.4
17,10,8.5
17,11,8.6
17,12,8.1
17,13,7.8
17,14,8.4
17,15,7.7
17,16,8.3
17,17,7.8
17,18,7.7
17,19,7.6
17,20,9.0
18,1,7.2
18,2,8.6
18,3,7.8
18,4,7.9
18,5,8.5
18,6,7.8
18,7,8.0
18,8,7.4
18,9,7.9
18,10,7.5
18,11,6.9
18,12,7.8
18,13,7.6
18,14,8.1
18,15,7.9
18,16,8.2
19,1,8.2
19,2,8.5
19,3,7.9
19,4,8.9
19,5,7.9
19,6,7.3
19,7,7.9
19,8,7.3
19,9,7.4
19,10,7.6
19,11,8.0
19,12,7.4
19,13,7.7
19,14,6.9
19,15,7.7
19,16,7.5
19,17,7.5
19,18,7.8
19,19,7.6
19,20,7.9
19,21,8.2
20,1,7.8
20,2,7.5
20,3,7.8
20,4,7.6
20,5,7.8
20,6,7.1
20,7,7.5
20,8,6.9
