season,episode,name,rating
1,1,"Pokémon, I Choose You!",8.5
1,2,Pokémon Emergency!,7.6
1,3,Ash Catches a Pokémon!,7.7
1,4,Challenge of the Samurai Boy!,7.2
1,5,Nibi Gym Battle!,7.7
1,6,Clefairy and the Moon Stone,7.1
1,7,The Water Flowers of Cerulean City,7.4
1,8,The Path to the Pokémon League,7.4
1,9,The School of Hard Knocks,7.2
1,10,Bulbasaur and the Hidden Village,7.8
1,11,Lost Pokemon Hitokage,8.4
1,12,Zenigane Group's Appearance,7.9
1,13,Masaki's Lighthouse,7.4
1,14,Electric Showdown! Kuchiba Gym,8.2
1,15,Battle on the St. Annu!,7.5
1,16,Pokemon Adrift,7.7
1,17,Giant Pokemon's Island!?,7.8
1,18,Aopuruko no kyujitsu (Holiday at Aopulco/Beauty and the Beach),6.7
1,19,Menokurage dokukurage,7.2
1,20,Ghostly Pokémon and the Summer Festival,7.4
1,21,Bye Bye Butterfree,8.2
1,22,Casey! Psychic Confrontation!,7.9
1,23,Capture at the Pokémon Tower!,8.0
1,24,Ghost vs Esper!,7.7
1,25,"Don't Get Angry, Okorizaru!",7.5
1,26,Erika and Kusaihana (Pokémon Scent-sation!),7.3
1,27,Sleeper and Pokémon Hypnotism!?,7.0
1,28,Rokon! Breeder Confrontation!,7.1
1,29,Hand-to-Hand Fighting Pokémon! Big Battle!,7.3
1,30,Do Coil See Dreams of Electric Mice!?,7.3
1,31,Full of Digda!,7.1
1,32,Sekichiku Ninja Confrontation!,7.5
1,33,Fire Pokémon Big Race!,7.6
1,34,Garura's Lullaby,6.4
1,35,Miniryu no Densetsu (The Legend of Miniryu),7.5
1,36,Storm on Cycling Road,7.2
1,37,Metamon and the Mimicry Girl,7.6
1,38,Dennô Senshi Porygon (Cyber Soldier Porygon/Electric Soldier Porygon),7.3
1,39,Pikachu's Woods,8.0
1,40,The Four Ivui Brothers,7.6
1,41,Wake up! Kabigon!,7.4
1,42,Showdown! Pokémon Gym!,7.1
1,43,Nassy Squad Big March!,6.9
1,44,Paras and Parasect,7.2
1,45,Sing! Purin!,7.6
1,46,Resurrection!? Fossil Pokémon!,8.1
1,47,Lucky's Clinical Records,7.0
1,48,Gardie and Kojiro,7.6
1,49,Kamonegi's Easy Mark,7.1
1,50,Who Gets to Keep Togepy!?,7.5
1,51,Fushigidane's Mysterious Flower Garden,7.7
