season,episode,name,rating
1,1,The Mortal Cup,7.1
1,2,The Descent Into Hell Isn't Easy,7.2
1,3,Dead Man's Party,7.4
1,4,Raising Hell,7.9
1,5,Moo Shu to Go,7.8
1,6,Of Men and Angels,8.0
1,7,Major Arcana,8.1
1,8,Bad Blood,7.9
1,9,Rise Up,8.1
1,10,This World Inverted,8.2
1,11,Blood Calls to Blood,8.0
1,12,Malec,8.7
1,13,Morning Star,7.9
2,1,This Guilty Blood,7.8
2,2,A Door Into the Dark,7.8
2,3,Parabatai Lost,8.2
2,4,Day of Wrath,8.3
2,5,Dust and Shadows,8.1
2,6,Iron Sisters,8.2
2,7,How Are Thou Fallen,8.4
2,8,Love Is a Devil,8.6
2,9,Bound by Blood,8.1
2,10,By the Light of Dawn,8.7
2,11,Mea Maxima Culpa,8.3
2,12,You Are Not Your Own,8.4
2,13,Those of Demon Blood,8.3
2,14,The Fair Folk,8.5
2,15,A Problem of Memory,8.2
2,16,Day of Atonement,8.4
2,17,A Dark Reflection,8.3
2,18,"Awake, Arise, or Be Forever Fallen",8.7
2,19,Hail and Farewell,8.5
2,20,Beside Still Water,8.9
3,1,On Infernal Ground,8.3
3,2,The Powers That Be,8.5
3,3,What Lies Beneath,8.3
3,4,Thy Soul Instructed,8.2
3,5,Stronger Than Heaven,8.3
3,6,A Window into an Empty Room,8.2
3,7,Salt in the Wound,8.4
3,8,A Heart of Darkness,8.4
3,9,Familia Ante Omnia,8.6
3,10,Erchomai,9.1
3,11,Lost Souls,8.0
3,12,Original Sin,8.2
3,13,Beati Bellicosi,7.8
3,14,A Kiss from a Rose,7.9
3,15,To the Night Children,8.0
3,16,Stay with Me,8.3
3,17,Heavenly Fire,8.3
3,18,The Beast Within,8.1
3,19,Aku Cinta Kamu,8.1
3,20,City of Glass,8.7
3,21,Alliance,8.6
3,22,All Good Things...,8.6
