season,episode,name,rating
1,1,Welcome to Republic City,8.2
1,2,A Leaf in the Wind,8.1
1,3,The Revelation,8.2
1,4,The Voice in the Night,8.1
1,5,The Spirit of Competition,7.7
1,6,And the Winner Is...,8.8
1,7,The Aftermath,8.4
1,8,When Extremes Meet,8.6
1,9,Out of the Past,8.8
1,10,Turning the Tides,8.8
1,11,Skeletons in the Closet,8.9
1,12,Endgame,9.2
2,1,Rebel Spirit,7.7
2,2,The Southern Lights,7.5
2,3,Civil Wars: Part 1,7.5
2,4,Civil Wars: Part 2,7.9
2,5,Peacekeepers,7.5
2,6,The Sting,7.5
2,7,"Beginnings, Part 1",9.2
2,8,"Beginnings, Part 2",9.5
2,9,The Guide,8.0
2,10,A New Spiritual Age,8.6
2,11,Night of a Thousand Stars,8.1
2,12,Harmonic Convergence,8.3
2,13,Darkness Falls,8.6
2,14,Light in the Dark,8.2
3,1,A Breath of Fresh Air,8.3
3,2,Rebirth,8.5
3,3,The Earth Queen,8.1
3,4,In Harm's Way,8.5
3,5,The Metal Clan,8.5
3,6,Old Wounds,8.5
3,7,Original Airbenders,8.1
3,8,The Terror Within,8.8
3,9,The Stakeout,8.7
3,10,Long Live the Queen,8.9
3,11,The Ultimatum,9.3
3,12,Enter the Void,9.4
3,13,Venom of the Red Lotus,9.6
4,1,After All These Years,8.5
4,2,Korra Alone,9.2
4,3,The Coronation,8.3
4,4,The Calling,8.6
4,5,Enemy at the Gates,8.4
4,6,The Battle of Zaofu,8.5
4,7,Reunion,8.1
4,8,Remembrances,5.8
4,9,Beyond the Wilds,8.4
4,10,Operation Beifong,8.9
4,11,Kuvira's Gambit,8.6
4,12,Day of the Colossus,9.1
4,13,The Last Stand,9.0
