season,episode,name,rating
1,1,Pilot,7.3
1,2,Diversity Day,8.1
1,3,Health Care,7.6
1,4,The Alliance,7.8
1,5,Basketball,8.2
1,6,Hot Girl,7.6
2,1,The Dundies,8.6
2,2,Sexual Harassment,8.1
2,3,Office Olympics,8.2
2,4,The Fire,8.2
2,5,Halloween,8.0
2,6,The Fight,8.0
2,7,The Client,8.5
2,8,Performance Review,8.0
2,9,E-Mail Surveillance,8.2
2,10,Christmas Party,8.7
2,11,Booze Cruise,8.5
2,12,The Injury,9.0
2,13,The Secret,8.1
2,14,The Carpet,7.7
2,15,Boys and Girls,8.0
2,16,Valentine's Day,8.2
2,17,Dwight's Speech,8.3
2,18,Take Your Daughter to Work Day,8.2
2,19,Michael's Birthday,8.0
2,20,Drug Testing,8.2
2,21,Conflict Resolution,8.6
2,22,Casino Night,9.3
3,1,Gay Witch Hunt,8.9
3,2,The Convention,8.0
3,3,The Coup,8.4
3,4,Grief Counseling,7.8
3,5,Initiation,7.9
3,6,Diwali,7.8
3,7,Branch Closing,8.5
3,8,The Merger,8.6
3,9,The Convict,8.2
3,10,A Benihana Christmas,8.7
3,11,Back from Vacation,8.5
3,12,Traveling Salesmen,8.5
3,13,The Return,8.7
3,14,Ben Franklin,7.9
3,15,Phyllis' Wedding,8.1
3,16,Business School,8.8
3,17,Cocktails,8.3
3,18,The Negotiation,8.9
3,19,Safety Training,8.6
3,20,Product Recall,8.5
3,21,Women's Appreciation,8.7
3,22,Beach Games,9.0
3,23,The Job,9.2
4,1,Fun Run,8.7
4,2,Dunder Mifflin Infinity,8.1
4,3,Launch Party,8.3
4,4,Money,8.5
4,5,Local Ad,8.6
4,6,Branch Wars,8.3
4,7,Survivor Man,8.0
4,8,The Deposition,8.6
4,9,Dinner Party,9.4
4,10,Chair Model,7.9
4,11,Night Out,8.5
4,12,Did I Stutter?,8.1
4,13,Job Fair,7.6
4,14,"Goodbye, Toby",9.2
5,1,Weight Loss,8.7
5,2,Business Ethics,8.1
5,3,Baby Shower,7.8
5,4,Crime Aid,7.9
5,5,Employee Transfer,7.9
5,6,Customer Survey,8.4
5,7,Business Trip,8.0
5,8,Frame Toby,8.5
5,9,The Surplus,8.6
5,10,Moroccan Christmas,8.2
5,11,The Duel,8.6
5,12,Prince Family Paper,7.9
5,13,Stress Relief,9.7
5,14,Lecture Circuit: Part 1,8.0
5,15,Lecture Circuit: Part 2,8.0
5,16,Blood Drive,7.9
5,17,Golden Ticket,8.5
5,18,New Boss,8.2
5,19,Two Weeks,8.2
5,20,Dream Team,8.1
5,21,Michael Scott Paper Company,8.6
5,22,Heavy Competition,8.6
5,23,Broke,9.2
5,24,Casual Friday,8.1
5,25,Cafe Disco,8.7
5,26,Company Picnic,8.9
6,1,Gossip,8.7
6,2,The Meeting,8.0
6,3,The Promotion,7.8
6,4,Niagara: Part 1,9.2
6,5,Niagara: Part 2,9.4
6,6,Mafia,7.5
6,7,The Lover,8.5
6,8,Koi Pond,8.0
6,9,Double Date,7.9
6,10,Murder,8.6
6,11,Shareholder Meeting,8.0
6,12,Scott's Tots,8.2
6,13,Secret Santa,8.4
6,14,The Banker,6.7
6,15,Sabre,7.5
6,16,Manager and Salesman,7.9
6,17,The Delivery: Part 1,8.3
6,18,The Delivery: Part 2,8.4
6,19,St. Patrick's Day,7.5
6,20,New Leads,7.6
6,21,Happy Hour,8.4
6,22,Secretary's Day,7.7
6,23,Body Language,7.7
6,24,The Cover-Up,8.0
6,25,The Chump,7.6
6,26,Whistleblower,7.8
7,1,Nepotism,8.2
7,2,Counseling,8.1
7,3,Andy's Play,8.1
7,4,Sex Ed,7.7
7,5,The Sting,7.6
7,6,Costume Contest,8.0
7,7,Christening,7.3
7,8,Viewing Party,7.7
7,9,WUPHF.com,7.5
7,10,China,8.1
7,11,Classy Christmas,8.9
7,12,Ultimatum,8.1
7,13,The Seminar,7.5
7,14,The Search,8.4
7,15,PDA,8.3
7,16,Threat Level Midnight,9.3
7,17,Todd Packer,7.3
7,18,Garage Sale,9.3
7,19,Training Day,7.6
7,20,Michael's Last Dundies,8.9
7,21,"Goodbye, Michael",9.8
7,22,The Inner Circle,7.4
7,23,"Dwight K. Schrute, (Acting) Manager",8.6
7,24,Search Committee,8.6
8,1,The List,7.9
8,2,The Incentive,8.0
8,3,Lotto,7.1
8,4,Garden Party,8.0
8,5,Spooked,7.4
8,6,Doomsday,7.4
8,7,Pam's Replacement,7.5
8,8,Gettysburg,6.6
8,9,Mrs. California,7.5
8,10,Christmas Wishes,7.7
8,11,Trivia,7.7
8,12,Pool Party,7.9
8,13,Jury Duty,7.3
8,14,Special Project,7.5
8,15,Tallahassee,7.7
8,16,After Hours,7.9
8,17,Test the Store,7.7
8,18,Last Day in Florida,7.6
8,19,Get the Girl,6.4
8,20,Welcome Party,6.8
8,21,Angry Andy,6.7
8,22,Fundraiser,6.9
8,23,Turf War,7.4
8,24,Free Family Portrait Studio,7.5
9,1,New Guys,7.4
9,2,Roy's Wedding,6.9
9,3,Andy's Ancestry,7.1
9,4,Work Bus,7.6
9,5,Here Comes Treble,6.8
9,6,The Boat,7.6
9,7,The Whale,7.4
9,8,The Target,7.7
9,9,Dwight Christmas,8.2
9,10,Lice,7.4
9,11,Suit Warehouse,7.6
9,12,Customer Loyalty,7.7
9,13,Junior Salesman,7.3
9,14,Vandalism,7.2
9,15,Couples Discount,7.0
9,16,Moving On,7.8
9,17,The Farm,7.3
9,18,Promos,7.7
9,19,Stairmageddon,7.8
9,20,Paper Airplane,7.8
9,21,Livin' the Dream,9.0
9,22,A.A.R.M.,9.4
9,23,Finale,9.8
