season,episode,rating
1,1,7.1
1,2,7.1
1,3,7.3
1,4,7.2
1,5,7.3
1,6,7.3
1,7,7.2
1,8,7.2
1,9,7.4
1,10,7.3
2,1,7.7
2,2,7.5
2,3,7.5
2,4,7.5
2,5,7.6
2,6,7.7
2,7,7.9
2,8,7.7
2,9,7.8
2,10,7.7
3,1,7.7
3,2,7.9
3,3,7.8
3,4,7.8
3,5,8.2
3,6,7.9
3,7,7.7
3,8,7.7
3,9,7.7
4,1,8.3
4,2,7.8
4,3,8.0
4,4,8.2
4,5,7.7
4,6,7.6
4,7,7.8
4,8,7.8
4,9,7.7
4,10,7.7
5,1,7.8
5,2,7.9
5,3,7.8
5,4,8.0
5,5,7.9
5,6,8.1
5,7,7.9
5,8,8.3
5,9,7.9
6,1,7.9
6,2,8.1
6,3,7.9
6,4,7.9
6,5,7.8
6,6,8.1
6,7,8.0
6,8,7.9
6,9,7.8
6,10,7.9
6,11,7.8
7,1,7.9
7,2,7.9
7,3,8.2
7,4,8.3
7,5,8.3
7,6,7.8
7,7,8.5
8,1,8.2
8,2,7.9
8,3,8.6
8,4,7.9
8,5,7.9
8,6,8.2
8,7,7.9
8,8,8.1
9,1,8.4
9,2,8.0
9,3,8.9
9,4,8.0
9,5,8.2
9,6,8.4
9,7,7.7
9,8,9.0
10,1,8.2
10,2,8.7
10,3,8.3
10,4,9.1
10,5,8.5
10,6,7.8
10,7,8.6
10,8,8.0
10,9,8.7
10,10,8.3
10,11,8.2
11,1,8.3
11,2,7.8
11,3,8.2
11,4,8.5
11,5,8.0
11,6,8.4
12,1,8.4
12,2,8.3
12,3,8.1
12,4,8.5
12,5,7.9
12,6,8.4
12,7,8.0
12,8,9.4
13,1,8.9
13,2,8.6
13,3,8.2
13,4,8.0
13,5,8.4
13,6,8.4
13,7,8.5
14,1,8.5
14,2,8.5
14,3,8.1
14,4,8.1
14,5,7.9
14,6,9.3
14,7,8.1
15,1,8.6
15,2,8.1
15,3,8.1
15,4,9.0
15,5,8.9
15,6,8.4
15,7,8.4
15,8,8.4
15,9,8.5
16,1,9.0
16,2,8.2
16,3,8.1
16,4,8.5
16,5,8.1
16,6,8.3
16,7,8.1
16,8,8.1
16,9,8.2
17,1,8.2
17,2,8.4
17,3,8.2
17,4,8.8
17,5,8.1
17,6,7.8
18,1,8.2
18,2,8.4
18,3,8.2
18,4,8.1
18,5,8.1
18,6,7.8
18,7,8.0
18,8,8.5
19,1,8.5
19,2,8.5
19,3,8.2
19,4,8.1
19,5,8.4
19,6,9.1
19,7,9.2
19,8,7.3
19,9,7.2
20,1,8.3
20,2,8.2
20,3,8.6
20,4,8.7
20,5,8.6
20,6,8.3
21,1,8.0
21,2,8.3
21,3,8.3
21,4,8.2
21,5,8.5
21,6,9.1
21,7,9.2
22,1,8.7
22,2,8.5
22,3,8.8
22,4,8.4
22,5,8.4
22,6,8.7
22,7,8.3
22,8,9.4
23,1,2.2
23,2,2.6
23,3,2.8
23,4,2.6
23,5,2.6
23,6,2.5
24,1,6.2
24,2,5.9
24,3,6.1
24,4,6.2
24,5,5.6
24,6,5.0
24,7,5.2
25,1,5.9
25,2,6.2
25,3,6.7
25,4,6.1
25,5,5.6
25,6,5.7
26,1,5.3
26,2,5.0
26,3,5.3
26,4,6.1
26,5,5.4
27,1,5.6
27,2,5.4
27,3,4.5
27,4,4.9
27,5,5.9
28,1,6.5
28,2,6.1
28,3,6.3
28,4,6.5
28,5,5.8
28,6,6.1
28,7,6.2
29,1,6.0
29,2,6.6
29,3,5.6
29,4,6.1
29,5,5.2
30,1,6.3
30,2,5.7
30,3,6.2
30,4,5.5
31,1,7.2
31,2,6.1
31,3,5.4
31,4,6.3
31,5,5.7
31,6,4.9
32,1,6.2
32,2,5.5
32,3,5.7
32,4,6.4
32,5,5.9
33,1,6.1
33,2,7.1
33,3,5.2
33,4,5.9
34,1,6.1
34,2,7.1
34,3,5.2
34,4,5.9
